model,construction,guardrail,cand,ok,turns,wall_s
gemma,confused,optimal,16,1,2,1.01
gemma,confused,optimal,17,1,2,0.99
gemma,confused,optimal,18,1,2,1.11
gemma,confused,optimal,19,1,2,1.12
gemma,confused,rules,0,1,2,1.07
gemma,confused,rules,1,1,2,1.01
gemma,confused,rules,2,1,2,0.98
gemma,confused,rules,3,1,2,1.11
gemma,confused,rules,4,1,2,0.99
gemma,confused,rules,5,1,2,1.0
gemma,confused,rules,6,1,2,1.11
gemma,confused,rules,7,1,2,0.99
gemma,confused,rules,8,1,2,0.96
gemma,confused,rules,9,1,2,1.04
gemma,confused,rules,10,1,2,1.04
gemma,confused,rules,11,1,2,1.01
gemma,confused,rules,12,1,2,1.0
gemma,confused,rules,13,1,2,0.98
gemma,confused,rules,14,1,2,0.97
gemma,confused,rules,15,1,2,1.0
gemma,confused,rules,16,1,2,1.08
gemma,confused,rules,17,1,2,1.06
gemma,confused,rules,18,1,2,0.97
gemma,confused,rules,19,1,2,0.94
